id,t_title,h_title,cost_color,cost_value,description,act1_value,act1_type,act1_side,act2_value,act2_type,act2_side,act3_value,act3_type,act3_side,img_t,img_h
19,Lipstick*on a Pig,Lipstick*on a Pig,2,14,+9 Swing Voters to you*+5 Partisans to you,9,1,0,5,2,0,0,0,0,0119,1119
20,Mock Opponent,Mock Opponent,2,15,+15 Partisans to you,15,2,0,0,0,0,0,0,0,0120,1120
21,Tweetstorm,Tweetstorm,2,18,+2 Mojo to you,2,7,0,0,0,0,0,0,0,0121,1121
22,Crowdfunding,Crowdfunding,3,12,+4 Swing Voters to you,4,1,0,0,0,0,0,0,0,0122,1122
23,Campaign*Finance Reform,Campaign Finance*Reform,3,12,-5 Swing Voters to you*+14 Partisans to you,-5,1,0,14,2,0,0,0,0,0123,1123
24,Tax Rich,Tax Rich,3,15,+8 Swing Voters to you*-5 Voters to opp,8,1,0,-5,0,1,0,0,0,0124,1124
25,SuperPAC,SuperPAC,3,18,+2 Money to you,2,8,0,0,0,0,0,0,0,0125,1125
26,Cash Shortage,Smoking Gun,0,0,-10 Voters to you*+5 Swing Voters to opp*+1 Free turn to you,-10,0,0,5,1,1,1,11,0,0126,1126
27,Angry Face,Sour Face,1,3,-2 Swing Voters to opp,-2,1,1,0,0,0,0,0,0,0127,1127
28,Blame*Media Bias,Julia Ioffe,1,3,+2 Swing Voters to you*-2 Swing Voters to opp,2,1,0,-2,1,1,0,0,0,0128,1128
29,Praise Putin,Delete Emails,1,7,+4 Swing Voters to you*+6 Partisans to you*-1 Media to you,4,1,0,6,2,0,-1,6,0,0129,1129
30,Pro-Gun,Gun Controls,1,9,-2 Voters to opp*+1 Money to you,-2,0,1,1,8,0,0,0,0,0130,1130
31,Obamacare,Biff Tannen Meme,2,3,-2 Voters to opp,-2,0,1,0,0,0,0,0,0,0131,1131
32,Shooter's iPhone,Merchandise*Censorship,2,7,+1 Media to you,1,6,0,0,0,0,0,0,0,0132,1132
33,Blame Muslims,Praise Muslims,2,7,+5 Swing Voters to you*+5 Partisans to you*-1 Mojo to you,5,1,0,5,2,0,-1,7,0,0133,1133
34,Crooked Hillary,Delete Account,2,9,+4 Partisans to you*-6 Voters to opp,4,2,0,-6,0,1,0,0,0,0134,1134
35,Red*Baseball Cap,Mock*Baseball Cap,3,3,+2 Swing Voters to you,2,1,0,0,0,0,0,0,0,0135,1135
36,Make America*Great Again,Elect Me*I Am a Woman,3,5,+2 Swing Voters to you*+1 Mojo to you,2,1,0,1,7,0,0,0,0,0136,1136
37,Shoot People*in the Street,Blame*Russkie Hackers,3,7,+6 Swing Voters to you*+4 Partisans to you*-1 Money to you,6,1,0,4,2,0,-1,8,0,0137,1137
38,Ivanka Trump,Melanie's Speech,3,9,+6 Partisans to you*-4 Partisans to opp,6,2,0,-4,2,1,0,0,0,0138,1138
39,Liberal Outrage,Media Bias,1,13,-2 Swing Voters to you*+8 Partisans to you*-1 Media to opp,-2,1,0,8,2,0,-1,6,1,0139,1139
40,Sick Hillary,Campus Rape,1,17,+4 Swing Voters to you*+12 Partisans to you,4,1,0,12,2,0,0,0,0,0140,1140
41,The Apprentice,National Convention,1,19,+2 Media to you,2,6,0,0,0,0,0,0,0,0141,1141
42,FBI*Laptop Probe,Gerrymandering,2,11,+3 Partisans to you*-9 Partisans to opp,3,2,0,-9,2,1,0,0,0,0142,1142
43,Mass*Deportations,Google*Censorship,2,17,+12 Partisans to you*-1 Money to opp,12,2,0,-1,8,1,0,0,0,0143,1143
44,Mexican Wall,Immigration*Reform,2,19,+2 Mojo to you,2,7,0,0,0,0,0,0,0,0144,1144
45,Tea Party,Bernie Sanders,3,13,-8 Voters to opp,-8,0,1,0,0,0,0,0,0,0145,1145
46,Praise Brexit,Facebook*Censorship,3,15,-12 Voters to opp*-1 Mojo to opp,-12,0,1,-1,7,1,0,0,0,0146,1146
47,Trump Casino*Taxes,Clinton*Foundation,3,19,+2 Money to you,2,8,0,0,0,0,0,0,0,0147,1147
48,Clinton*Foundation,Black Lives*Matter,1,25,+20 Swing Voters to you*-20 Voters to opp,20,1,0,-20,0,1,0,0,0,0148,1148
49,Libya Embassy,Grab Pussy,2,25,+5 Swing Voters to you*+15 Partisans to you*-20 Partisans to opp,5,1,0,15,2,0,-20,2,1,0149,1149
50,Emailgate,Blame Putin,3,25,+15 Swing Voters to you*-25 Voters to opp,15,1,0,-25,0,1,0,0,0,0150,1150
51,Denver Airport,Denver Airport,0,0,-10 Voters to both*-4 all resources to both,-10,0,2,-4,9,2,0,0,0,0151,1151
52,Snowden,Snowden,0,0,-15 Voters to both*-1 all assets to both,-15,0,2,-1,10,2,0,0,0,0152,1152
53,WikiLeaks,WikiLeaks,0,0,-10 Partisans to you*+10 Swing Voters to opp,-10,2,0,10,1,1,0,0,0,0153,1153
54,Election Fraud,Election Fraud,0,99,-999 Voters to both*Both players lose*Game over,-999,0,2,0,0,0,0,0,0,0154,1154
